N;THREADS;TIME;LOOP
10000;1;0.02000;0
10000;1;0.01000;1
10000;1;0.01000;2
10000;1;0.01000;3
10000;1;0.01000;4
10000;1;0.01000;5
10000;1;0.01000;6
10000;1;0.01000;7
10000;1;0.01000;8
10000;1;0.01000;9
10000;2;0.02000;0
10000;2;0.01000;1
10000;2;0.02000;2
10000;2;0.01000;3
10000;2;0.02000;4
10000;2;0.01000;5
10000;2;0.01000;6
10000;2;0.01000;7
10000;2;0.01000;8
10000;2;0.01000;9
10000;3;0.01000;0
10000;3;0.01000;1
10000;3;0.01000;2
10000;3;0.01000;3
10000;3;0.01000;4
10000;3;0.01000;5
10000;3;0.01000;6
10000;3;0.01000;7
10000;3;0.01000;8
10000;3;0.01000;9
10000;4;0.01000;0
10000;4;0.01000;1
10000;4;0.01000;2
10000;4;0.01000;3
10000;4;0.01000;4
10000;4;0.03000;5
10000;4;0.02000;6
10000;4;0.01000;7
10000;4;0.02000;8
10000;4;0.02000;9
10000;5;0.03000;0
10000;5;0.02000;1
10000;5;0.02000;2
10000;5;0.03000;3
10000;5;0.09000;4
10000;5;0.03000;5
10000;5;0.02000;6
10000;5;0.02000;7
10000;5;0.01000;8
10000;5;0.02000;9
10000;6;0.06000;0
10000;6;0.06000;1
10000;6;0.03000;2
10000;6;0.03000;3
10000;6;0.04000;4
10000;6;0.04000;5
10000;6;0.04000;6
10000;6;0.03000;7
10000;6;0.02000;8
10000;6;0.01000;9
10000;7;0.01000;0
10000;7;0.02000;1
10000;7;0.02000;2
10000;7;0.03000;3
10000;7;0.06000;4
10000;7;0.04000;5
10000;7;0.02000;6
10000;7;0.06000;7
10000;7;0.03000;8
10000;7;0.02000;9
10000;8;0.03000;0
10000;8;0.05000;1
10000;8;0.10000;2
10000;8;0.02000;3
10000;8;0.13000;4
10000;8;0.05000;5
10000;8;0.08000;6
10000;8;0.09000;7
10000;8;0.08000;8
10000;8;0.06000;9
10000;9;0.01000;0
10000;9;0.01000;1
10000;9;0.01000;2
10000;9;0.02000;3
10000;9;0.01000;4
10000;9;0.01000;5
10000;9;0.01000;6
10000;9;0.02000;7
10000;9;0.01000;8
10000;9;0.01000;9
10000;10;0.03000;0
10000;10;0.03000;1
10000;10;0.01000;2
10000;10;0.01000;3
10000;10;0.01000;4
10000;10;0.01000;5
10000;10;0.01000;6
10000;10;0.01000;7
10000;10;0.01000;8
10000;10;0.01000;9
100000;1;0.01000;0
100000;1;0.01000;1
100000;1;0.01000;2
100000;1;0.01000;3
100000;1;0.01000;4
100000;1;0.01000;5
100000;1;0.01000;6
100000;1;0.01000;7
100000;1;0.01000;8
100000;1;0.01000;9
100000;2;0.01000;0
100000;2;0.01000;1
100000;2;0.01000;2
100000;2;0.01000;3
100000;2;0.01000;4
100000;2;0.01000;5
100000;2;0.01000;6
100000;2;0.01000;7
100000;2;0.01000;8
100000;2;0.01000;9
100000;3;0.02000;0
100000;3;0.01000;1
100000;3;0.01000;2
100000;3;0.01000;3
100000;3;0.01000;4
100000;3;0.02000;5
100000;3;0.01000;6
100000;3;0.02000;7
100000;3;0.01000;8
100000;3;0.01000;9
100000;4;0.03000;0
100000;4;0.02000;1
100000;4;0.02000;2
100000;4;0.03000;3
100000;4;0.01000;4
100000;4;0.02000;5
100000;4;0.02000;6
100000;4;0.01000;7
100000;4;0.01000;8
100000;4;0.01000;9
100000;5;0.03000;0
100000;5;0.01000;1
100000;5;0.01000;2
100000;5;0.02000;3
100000;5;0.03000;4
100000;5;0.02000;5
100000;5;0.03000;6
100000;5;0.02000;7
100000;5;0.02000;8
100000;5;0.02000;9
100000;6;0.01000;0
100000;6;0.01000;1
100000;6;0.02000;2
100000;6;0.01000;3
100000;6;0.01000;4
100000;6;0.01000;5
100000;6;0.02000;6
100000;6;0.06000;7
100000;6;0.01000;8
100000;6;0.05000;9
100000;7;0.01000;0
100000;7;0.04000;1
100000;7;0.01000;2
100000;7;0.03000;3
100000;7;0.08000;4
100000;7;0.01000;5
100000;7;0.02000;6
100000;7;0.01000;7
100000;7;0.01000;8
100000;7;0.02000;9
100000;8;0.11000;0
100000;8;0.05000;1
