N;THREADS;TIME;LOOP
10000000;1;0.31000;0
10000000;1;0.29000;1
10000000;1;0.29000;2
10000000;1;0.29000;3
10000000;1;0.30000;4
10000000;1;0.30000;5
10000000;1;0.29000;6
10000000;1;0.29000;7
10000000;1;0.29000;8
10000000;1;0.29000;9
10000000;2;0.20000;0
10000000;2;0.20000;1
10000000;2;0.23000;2
10000000;2;0.19000;3
10000000;2;0.18000;4
10000000;2;0.19000;5
10000000;2;0.20000;6
10000000;2;0.24000;7
10000000;2;0.19000;8
10000000;2;0.25000;9
10000000;3;0.26000;0
10000000;3;0.19000;1
10000000;3;0.19000;2
10000000;3;0.22000;3
10000000;3;0.22000;4
10000000;3;0.21000;5
10000000;3;0.23000;6
10000000;3;0.19000;7
10000000;3;0.24000;8
10000000;3;0.19000;9
10000000;4;0.19000;0
10000000;4;0.24000;1
10000000;4;0.23000;2
10000000;4;0.20000;3
10000000;4;0.21000;4
10000000;4;0.19000;5
10000000;4;0.22000;6
10000000;4;0.18000;7
10000000;4;0.20000;8
10000000;4;0.23000;9
