N;THREADS;TIME;LOOP
100000000;1;0.41000;0
100000000;1;0.41000;1
100000000;1;0.40000;2
100000000;1;0.41000;3
100000000;1;0.41000;4
100000000;2;0.23000;0
100000000;2;0.17000;1
100000000;2;0.15000;2
100000000;2;0.17000;3
100000000;2;0.17000;4
100000000;3;0.16000;0
100000000;3;0.16000;1
100000000;3;0.15000;2
100000000;3;0.16000;3
100000000;3;0.14000;4
100000000;4;0.15000;0
100000000;4;0.16000;1
100000000;4;0.16000;2
100000000;4;0.16000;3
100000000;4;0.17000;4
100000000;5;0.17000;0
100000000;5;0.18000;1
100000000;5;0.16000;2
100000000;5;0.18000;3
100000000;5;0.19000;4
100000000;6;0.18000;0
100000000;6;0.17000;1
100000000;6;0.17000;2
100000000;6;0.18000;3
100000000;6;0.18000;4
100000000;7;0.19000;0
100000000;7;0.19000;1
100000000;7;0.19000;2
100000000;7;0.19000;3
100000000;7;0.18000;4
100000000;8;0.18000;0
100000000;8;0.19000;1
100000000;8;0.18000;2
100000000;8;0.18000;3
100000000;8;0.19000;4
100000000;9;0.19000;0
100000000;9;0.19000;1
100000000;9;0.19000;2
100000000;9;0.19000;3
100000000;9;0.18000;4
100000000;10;0.19000;0
100000000;10;0.19000;1
100000000;10;0.19000;2
100000000;10;0.20000;3
100000000;10;0.19000;4
100000000;11;0.19000;0
100000000;11;0.23000;1
100000000;11;0.18000;2
100000000;11;0.18000;3
100000000;11;0.19000;4
100000000;12;0.28000;0
100000000;12;0.22000;1
100000000;12;0.29000;2
100000000;12;0.26000;3
100000000;12;0.27000;4
100000000;13;0.31000;0
100000000;13;0.27000;1
100000000;13;0.28000;2
100000000;13;0.30000;3
100000000;13;0.29000;4
100000000;14;0.33000;0
100000000;14;0.33000;1
100000000;14;0.20000;2
100000000;14;0.18000;3
100000000;14;0.22000;4
100000000;15;0.20000;0
100000000;15;0.21000;1
100000000;15;0.19000;2
100000000;15;0.18000;3
100000000;15;0.18000;4
100000000;16;0.18000;0
100000000;16;0.18000;1
100000000;16;0.23000;2
100000000;16;0.20000;3
100000000;16;0.24000;4
100000000;17;0.30000;0
100000000;17;0.20000;1
100000000;17;0.19000;2
100000000;17;0.19000;3
100000000;17;0.18000;4
100000000;18;0.19000;0
100000000;18;0.35000;1
100000000;18;0.19000;2
100000000;18;0.35000;3
100000000;18;0.19000;4
100000000;19;0.31000;0
100000000;19;0.20000;1
100000000;19;0.21000;2
100000000;19;0.37000;3
100000000;19;0.19000;4
100000000;20;0.41000;0
100000000;20;0.23000;1
100000000;20;0.32000;2
100000000;20;0.32000;3
100000000;20;0.22000;4
1000000000;1;4.11000;0
1000000000;1;4.13000;1
1000000000;1;4.09000;2
1000000000;1;4.14000;3
1000000000;1;4.12000;4
1000000000;2;1.60000;0
1000000000;2;1.67000;1
1000000000;2;1.70000;2
1000000000;2;1.63000;3
1000000000;2;1.65000;4
1000000000;3;1.67000;0
1000000000;3;1.68000;1
1000000000;3;1.43000;2
1000000000;3;1.53000;3
1000000000;3;1.51000;4
1000000000;4;1.75000;0
1000000000;4;1.77000;1
1000000000;4;1.71000;2
1000000000;4;1.81000;3
1000000000;4;1.73000;4
1000000000;5;2.12000;0
1000000000;5;1.97000;1
1000000000;5;1.99000;2
1000000000;5;2.10000;3
1000000000;5;1.92000;4
1000000000;6;1.82000;0
1000000000;6;1.86000;1
1000000000;6;1.82000;2
1000000000;6;1.80000;3
1000000000;6;1.98000;4
1000000000;7;2.05000;0
1000000000;7;2.49000;1
1000000000;7;2.22000;2
1000000000;7;2.44000;3
1000000000;7;2.17000;4
1000000000;8;2.10000;0
1000000000;8;2.04000;1
1000000000;8;1.90000;2
1000000000;8;1.90000;3
1000000000;8;2.02000;4
1000000000;9;2.25000;0
1000000000;9;2.00000;1
1000000000;9;2.44000;2
1000000000;9;2.21000;3
1000000000;9;2.36000;4
1000000000;10;2.16000;0
1000000000;10;2.20000;1
1000000000;10;2.08000;2
1000000000;10;2.05000;3
1000000000;10;2.17000;4
1000000000;11;2.30000;0
1000000000;11;2.04000;1
1000000000;11;2.26000;2
1000000000;11;2.23000;3
1000000000;11;1.76000;4
1000000000;12;2.96000;0
1000000000;12;2.79000;1
1000000000;12;2.97000;2
1000000000;12;2.96000;3
1000000000;12;3.01000;4
1000000000;13;3.37000;0
1000000000;13;3.25000;1
1000000000;13;3.04000;2
1000000000;13;1.82000;3
1000000000;13;3.00000;4
1000000000;14;3.09000;0
1000000000;14;3.22000;1
1000000000;14;1.94000;2
1000000000;14;1.84000;3
1000000000;14;3.32000;4
1000000000;15;1.96000;0
1000000000;15;3.46000;1
1000000000;15;3.11000;2
1000000000;15;1.83000;3
1000000000;15;2.17000;4
1000000000;16;1.85000;0
1000000000;16;2.04000;1
1000000000;16;4.07000;2
1000000000;16;3.81000;3
1000000000;16;3.56000;4
1000000000;17;1.86000;0
1000000000;17;3.78000;1
1000000000;17;1.96000;2
1000000000;17;3.43000;3
1000000000;17;1.86000;4
1000000000;18;3.42000;0
1000000000;18;1.86000;1
1000000000;18;1.87000;2
1000000000;18;3.12000;3
1000000000;18;1.86000;4
1000000000;19;1.88000;0
1000000000;19;3.47000;1
1000000000;19;1.90000;2
1000000000;19;3.37000;3
1000000000;19;2.88000;4
1000000000;20;2.13000;0
1000000000;20;1.89000;1
1000000000;20;3.44000;2
1000000000;20;3.06000;3
1000000000;20;3.13000;4
