Number;event;err
8792.569793;task-clock;1.48%
62;context-switches;33.11%
13;cpu-migrations;2.42%
4486;page-faults;1.52%
24297792987;cycles;1.48%
16292882819;stalled-cycles-frontend;1.39%
6555900787;stalled-cycles-backend;2.98%
24846747875;instructions;0.61%
2218284302;branches;2.03%
115186;branch-misses;0.99%
7310315868;L1-dcache-loads;0.20%
381149350;L1-dcache-load-misses;0.03%
41999671;LLC-loads;0.26%
26079654;LLC-load-misses;0.35%
1.02;instructions-per-cycle;0.02
0.62;LLC-cache-miss-rate;0.0061
0.05;L1-cache-miss-rate;0.002
