N;THREADS;TIME;LOOP
100000000;1;0.59000;0
100000000;1;0.59000;1
100000000;1;0.59000;2
100000000;1;0.59000;3
100000000;1;0.59000;4
100000000;2;0.30000;0
100000000;2;0.31000;1
100000000;2;0.30000;2
100000000;2;0.32000;3
100000000;2;0.31000;4
100000000;3;0.21000;0
100000000;3;0.21000;1
100000000;3;0.20000;2
100000000;3;0.21000;3
100000000;3;0.21000;4
100000000;4;0.16000;0
100000000;4;0.16000;1
100000000;4;0.16000;2
100000000;4;0.16000;3
100000000;4;0.16000;4
100000000;5;0.13000;0
100000000;5;0.13000;1
100000000;5;0.13000;2
100000000;5;0.13000;3
100000000;5;0.13000;4
100000000;6;0.11000;0
100000000;6;0.11000;1
100000000;6;0.11000;2
100000000;6;0.11000;3
100000000;6;0.11000;4
100000000;7;0.10000;0
100000000;7;0.10000;1
100000000;7;0.10000;2
100000000;7;0.10000;3
100000000;7;0.10000;4
100000000;8;0.08000;0
100000000;8;0.08000;1
100000000;8;0.09000;2
100000000;8;0.08000;3
100000000;8;0.09000;4
100000000;9;0.08000;0
100000000;9;0.08000;1
100000000;9;0.08000;2
100000000;9;0.08000;3
100000000;9;0.08000;4
100000000;10;0.07000;0
100000000;10;0.07000;1
100000000;10;0.07000;2
100000000;10;0.07000;3
100000000;10;0.07000;4
100000000;11;0.06000;0
100000000;11;0.06000;1
100000000;11;0.07000;2
100000000;11;0.06000;3
100000000;11;0.06000;4
100000000;12;0.06000;0
100000000;12;0.06000;1
100000000;12;0.06000;2
100000000;12;0.06000;3
100000000;12;0.06000;4
100000000;13;0.06000;0
100000000;13;0.05000;1
100000000;13;0.06000;2
100000000;13;0.05000;3
100000000;13;0.05000;4
100000000;14;0.05000;0
100000000;14;0.05000;1
100000000;14;0.05000;2
100000000;14;0.05000;3
100000000;14;0.05000;4
100000000;15;0.05000;0
100000000;15;0.05000;1
100000000;15;0.05000;2
100000000;15;0.05000;3
100000000;15;0.05000;4
100000000;16;0.05000;0
100000000;16;0.05000;1
100000000;16;0.05000;2
100000000;16;0.05000;3
100000000;16;0.05000;4
100000000;17;0.05000;0
100000000;17;0.05000;1
100000000;17;0.04000;2
100000000;17;0.05000;3
100000000;17;0.05000;4
100000000;18;0.05000;0
100000000;18;0.05000;1
100000000;18;0.05000;2
100000000;18;0.05000;3
100000000;18;0.05000;4
100000000;19;0.05000;0
100000000;19;0.05000;1
100000000;19;0.05000;2
100000000;19;0.05000;3
100000000;19;0.05000;4
100000000;20;0.05000;0
100000000;20;0.05000;1
100000000;20;0.05000;2
100000000;20;0.05000;3
100000000;20;0.05000;4
1000000000;1;5.87000;0
1000000000;1;5.90000;1
1000000000;1;5.91000;2
1000000000;1;5.85000;3
1000000000;1;5.89000;4
1000000000;2;2.98000;0
1000000000;2;3.07000;1
1000000000;2;2.99000;2
1000000000;2;2.99000;3
1000000000;2;2.99000;4
1000000000;3;2.07000;0
1000000000;3;2.05000;1
1000000000;3;2.06000;2
1000000000;3;2.05000;3
1000000000;3;2.05000;4
1000000000;4;1.55000;0
1000000000;4;1.63000;1
1000000000;4;1.63000;2
1000000000;4;1.63000;3
1000000000;4;1.60000;4
1000000000;5;1.28000;0
1000000000;5;1.27000;1
1000000000;5;1.27000;2
1000000000;5;1.27000;3
1000000000;5;1.28000;4
1000000000;6;1.08000;0
1000000000;6;1.08000;1
1000000000;6;1.08000;2
1000000000;6;1.07000;3
1000000000;6;1.06000;4
1000000000;7;0.95000;0
1000000000;7;0.95000;1
1000000000;7;0.96000;2
1000000000;7;0.95000;3
1000000000;7;0.95000;4
1000000000;8;0.84000;0
1000000000;8;0.84000;1
1000000000;8;0.84000;2
1000000000;8;0.84000;3
1000000000;8;0.82000;4
1000000000;9;0.77000;0
1000000000;9;0.77000;1
1000000000;9;0.77000;2
1000000000;9;0.77000;3
1000000000;9;0.76000;4
1000000000;10;0.70000;0
1000000000;10;0.69000;1
1000000000;10;0.71000;2
1000000000;10;0.69000;3
1000000000;10;0.69000;4
1000000000;11;0.64000;0
1000000000;11;0.64000;1
1000000000;11;0.65000;2
1000000000;11;0.64000;3
1000000000;11;0.64000;4
1000000000;12;0.59000;0
1000000000;12;0.59000;1
1000000000;12;0.59000;2
1000000000;12;0.59000;3
1000000000;12;0.59000;4
1000000000;13;0.55000;0
1000000000;13;0.55000;1
1000000000;13;0.55000;2
1000000000;13;0.55000;3
1000000000;13;0.54000;4
1000000000;14;0.51000;0
1000000000;14;0.53000;1
1000000000;14;0.53000;2
1000000000;14;0.54000;3
1000000000;14;0.53000;4
1000000000;15;0.50000;0
1000000000;15;0.52000;1
1000000000;15;0.51000;2
1000000000;15;0.52000;3
1000000000;15;0.50000;4
1000000000;16;0.49000;0
1000000000;16;0.49000;1
1000000000;16;0.49000;2
1000000000;16;0.49000;3
1000000000;16;0.50000;4
1000000000;17;0.50000;0
1000000000;17;0.49000;1
1000000000;17;0.50000;2
1000000000;17;0.50000;3
1000000000;17;0.49000;4
1000000000;18;0.47000;0
1000000000;18;0.47000;1
1000000000;18;0.48000;2
1000000000;18;0.48000;3
1000000000;18;0.47000;4
1000000000;19;0.48000;0
1000000000;19;0.47000;1
1000000000;19;0.48000;2
1000000000;19;0.49000;3
1000000000;19;0.48000;4
1000000000;20;0.46000;0
1000000000;20;0.54000;1
1000000000;20;0.52000;2
1000000000;20;0.53000;3
1000000000;20;0.46000;4
