N;THREADS;TIME;LOOP
10000000000;1;8.37000;0
10000000000;1;8.37000;1
10000000000;1;8.40000;2
10000000000;1;8.33000;3
10000000000;1;8.32000;4
10000000000;2;8.28000;0
10000000000;2;8.32000;1
10000000000;2;8.30000;2
10000000000;2;8.30000;3
10000000000;2;8.36000;4
10000000000;3;7.27000;0
10000000000;3;7.24000;1
10000000000;3;7.22000;2
10000000000;3;7.28000;3
10000000000;3;7.25000;4
10000000000;4;6.76000;0
10000000000;4;6.76000;1
10000000000;4;6.77000;2
10000000000;4;6.76000;3
10000000000;4;6.78000;4
10000000000;5;6.66000;0
10000000000;5;6.63000;1
10000000000;5;6.62000;2
10000000000;5;6.64000;3
10000000000;5;6.57000;4
10000000000;6;6.55000;0
10000000000;6;6.58000;1
10000000000;6;6.54000;2
10000000000;6;6.59000;3
10000000000;6;6.58000;4
10000000000;7;6.58000;0
10000000000;7;6.59000;1
10000000000;7;6.57000;2
10000000000;7;6.57000;3
10000000000;7;6.60000;4
10000000000;8;6.52000;0
10000000000;8;6.58000;1
10000000000;8;6.63000;2
10000000000;8;6.55000;3
10000000000;8;6.59000;4
10000000000;9;6.64000;0
10000000000;9;6.61000;1
10000000000;9;6.61000;2
10000000000;9;6.63000;3
10000000000;9;6.56000;4
10000000000;10;6.59000;0
10000000000;10;6.58000;1
10000000000;10;6.57000;2
10000000000;10;6.54000;3
10000000000;10;6.56000;4
10000000000;11;6.59000;0
10000000000;11;6.57000;1
10000000000;11;6.58000;2
10000000000;11;6.57000;3
10000000000;11;6.59000;4
10000000000;12;6.61000;0
10000000000;12;6.58000;1
10000000000;12;6.59000;2
10000000000;12;6.56000;3
10000000000;12;6.58000;4
10000000000;13;6.60000;0
10000000000;13;6.57000;1
10000000000;13;6.56000;2
10000000000;13;6.57000;3
10000000000;13;6.55000;4
10000000000;14;6.58000;0
10000000000;14;6.59000;1
10000000000;14;6.60000;2
10000000000;14;6.57000;3
10000000000;14;6.61000;4
10000000000;15;6.60000;0
10000000000;15;6.59000;1
10000000000;15;6.59000;2
10000000000;15;6.58000;3
10000000000;15;6.57000;4
10000000000;16;6.64000;0
10000000000;16;6.61000;1
10000000000;16;6.60000;2
10000000000;16;6.60000;3
10000000000;16;6.59000;4
10000000000;17;6.60000;0
10000000000;17;6.60000;1
10000000000;17;6.60000;2
10000000000;17;6.63000;3
10000000000;17;6.63000;4
10000000000;18;6.62000;0
10000000000;18;6.61000;1
10000000000;18;6.63000;2
10000000000;18;6.57000;3
10000000000;18;6.59000;4
10000000000;19;6.58000;0
10000000000;19;6.61000;1
10000000000;19;6.57000;2
10000000000;19;6.61000;3
10000000000;19;6.61000;4
10000000000;20;6.59000;0
10000000000;20;6.67000;1
10000000000;20;6.62000;2
10000000000;20;6.60000;3
10000000000;20;6.64000;4
