N;THREADS;TIME;LOOP
1000000000;1;5.94000;0
1000000000;1;5.92000;1
1000000000;1;5.91000;2
1000000000;1;5.90000;3
1000000000;1;5.91000;4
1000000000;2;5.09000;0
1000000000;2;4.99000;1
1000000000;2;4.96000;2
1000000000;2;4.97000;3
1000000000;2;5.02000;4
1000000000;3;3.47000;0
1000000000;3;3.52000;1
1000000000;3;3.50000;2
1000000000;3;3.46000;3
1000000000;3;3.51000;4
1000000000;4;2.66000;0
1000000000;4;2.59000;1
1000000000;4;2.62000;2
1000000000;4;2.62000;3
1000000000;4;2.59000;4
1000000000;5;2.21000;0
1000000000;5;2.20000;1
1000000000;5;2.26000;2
1000000000;5;2.21000;3
1000000000;5;2.23000;4
1000000000;6;1.85000;0
1000000000;6;1.85000;1
1000000000;6;1.84000;2
1000000000;6;1.87000;3
1000000000;6;1.83000;4
1000000000;7;1.77000;0
1000000000;7;1.72000;1
1000000000;7;1.70000;2
1000000000;7;1.73000;3
1000000000;7;1.68000;4
1000000000;8;1.50000;0
1000000000;8;1.51000;1
1000000000;8;1.52000;2
1000000000;8;1.49000;3
1000000000;8;1.52000;4
1000000000;9;1.47000;0
1000000000;9;1.44000;1
1000000000;9;1.46000;2
1000000000;9;1.44000;3
1000000000;9;1.43000;4
1000000000;10;1.32000;0
1000000000;10;1.33000;1
1000000000;10;1.32000;2
1000000000;10;1.32000;3
1000000000;10;1.32000;4
1000000000;11;1.27000;0
1000000000;11;1.27000;1
1000000000;11;1.28000;2
1000000000;11;1.27000;3
1000000000;11;1.27000;4
1000000000;12;1.19000;0
1000000000;12;1.19000;1
1000000000;12;1.19000;2
1000000000;12;1.19000;3
1000000000;12;1.19000;4
1000000000;13;1.17000;0
1000000000;13;1.17000;1
1000000000;13;1.17000;2
1000000000;13;1.20000;3
1000000000;13;1.18000;4
1000000000;14;1.15000;0
1000000000;14;1.15000;1
1000000000;14;1.14000;2
1000000000;14;1.14000;3
1000000000;14;1.14000;4
1000000000;15;1.21000;0
1000000000;15;1.20000;1
1000000000;15;1.18000;2
1000000000;15;1.22000;3
1000000000;15;1.18000;4
1000000000;16;1.14000;0
1000000000;16;1.14000;1
1000000000;16;1.13000;2
1000000000;16;1.14000;3
1000000000;16;1.13000;4
1000000000;17;1.29000;0
1000000000;17;1.25000;1
1000000000;17;1.30000;2
1000000000;17;1.25000;3
1000000000;17;1.22000;4
1000000000;18;1.20000;0
1000000000;18;1.20000;1
1000000000;18;1.19000;2
1000000000;18;1.19000;3
1000000000;18;1.19000;4
1000000000;19;1.27000;0
1000000000;19;1.27000;1
1000000000;19;1.32000;2
1000000000;19;1.28000;3
1000000000;19;1.32000;4
1000000000;20;1.37000;0
1000000000;20;1.34000;1
1000000000;20;1.26000;2
1000000000;20;1.38000;3
1000000000;20;1.33000;4
