N;THREADS;TIME;LOOP
10000000000;1;8.40000;0
10000000000;1;8.33000;1
10000000000;1;8.32000;2
10000000000;1;8.33000;3
10000000000;1;8.33000;4
10000000000;2;7.96000;0
10000000000;2;7.94000;1
10000000000;2;7.95000;2
10000000000;2;7.97000;3
10000000000;2;7.96000;4
10000000000;3;7.06000;0
10000000000;3;7.08000;1
10000000000;3;7.05000;2
10000000000;3;7.05000;3
10000000000;3;7.08000;4
10000000000;4;6.68000;0
10000000000;4;6.65000;1
10000000000;4;6.64000;2
10000000000;4;6.64000;3
10000000000;4;6.65000;4
10000000000;5;6.56000;0
10000000000;5;6.60000;1
10000000000;5;6.62000;2
10000000000;5;6.67000;3
10000000000;5;6.62000;4
10000000000;6;6.54000;0
10000000000;6;6.52000;1
10000000000;6;6.51000;2
10000000000;6;6.53000;3
10000000000;6;6.51000;4
10000000000;7;6.54000;0
10000000000;7;6.53000;1
10000000000;7;6.63000;2
10000000000;7;6.54000;3
10000000000;7;6.54000;4
10000000000;8;6.48000;0
10000000000;8;6.58000;1
10000000000;8;6.51000;2
10000000000;8;6.52000;3
10000000000;8;6.50000;4
10000000000;9;6.59000;0
10000000000;9;6.56000;1
10000000000;9;6.58000;2
10000000000;9;6.67000;3
10000000000;9;6.65000;4
10000000000;10;6.64000;0
10000000000;10;6.59000;1
10000000000;10;6.56000;2
10000000000;10;6.54000;3
10000000000;10;6.65000;4
10000000000;11;6.52000;0
10000000000;11;6.64000;1
10000000000;11;6.56000;2
10000000000;11;6.54000;3
10000000000;11;6.57000;4
10000000000;12;6.55000;0
10000000000;12;6.59000;1
10000000000;12;6.68000;2
10000000000;12;6.59000;3
10000000000;12;6.60000;4
10000000000;13;6.65000;0
10000000000;13;6.67000;1
10000000000;13;6.66000;2
10000000000;13;6.55000;3
10000000000;13;6.54000;4
10000000000;14;6.62000;0
10000000000;14;6.61000;1
10000000000;14;6.62000;2
10000000000;14;6.60000;3
10000000000;14;6.61000;4
10000000000;15;6.58000;0
10000000000;15;6.55000;1
10000000000;15;6.64000;2
10000000000;15;6.63000;3
10000000000;15;6.65000;4
10000000000;16;6.50000;0
10000000000;16;6.59000;1
10000000000;16;6.57000;2
10000000000;16;6.64000;3
10000000000;16;6.68000;4
10000000000;17;6.65000;0
10000000000;17;6.54000;1
10000000000;17;6.56000;2
10000000000;17;6.57000;3
10000000000;17;6.65000;4
10000000000;18;6.57000;0
10000000000;18;6.67000;1
10000000000;18;6.59000;2
10000000000;18;6.57000;3
10000000000;18;6.59000;4
10000000000;19;6.60000;0
10000000000;19;6.66000;1
10000000000;19;6.65000;2
10000000000;19;6.67000;3
10000000000;19;6.55000;4
10000000000;20;6.70000;0
10000000000;20;6.62000;1
10000000000;20;6.68000;2
10000000000;20;6.60000;3
10000000000;20;6.67000;4
